LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Foundation,BsmtFinType1,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageCars,YrSold,SalePrice
,11120,IR1,CulDSac,Veenker,1Fam,1Story,6,6,1984,1984,Plywood,PConc,BLQ,1232,1232,2,0,3,TA,6,0,Attchd,2,2008,162500
110,13688,IR1,Inside,NridgHt,1Fam,2Story,9,5,2003,2004,VinylSd,PConc,GLQ,1572,2668,2,1,3,Ex,10,2,BuiltIn,3,2008,412500
95,12182,Reg,Corner,NridgHt,1Fam,1Story,7,5,2005,2005,VinylSd,PConc,BLQ,1541,1541,2,0,3,Gd,7,1,Attchd,2,2010,220000
55,5500,Reg,Inside,OldTown,1Fam,1.5Unf,4,6,1956,1956,MetalSd,CBlock,Unf,882,882,1,0,1,TA,4,0,NA,0,2007,103200
40,5400,Reg,Corner,OldTown,1Fam,1Story,6,7,1926,2004,MetalSd,BrkTil,LwQ,1149,1616,2,0,3,Gd,5,0,Detchd,1,2007,152000
62,10106,Reg,Inside,Edwards,2fmCon,1.5Fin,5,7,1940,1999,Wd Sdng,BrkTil,ALQ,644,1355,2,0,4,TA,6,0,NA,0,2008,127500
,10708,IR1,Inside,ClearCr,1Fam,1Story,5,5,1955,1993,Wd Sdng,CBlock,LwQ,1617,1867,1,0,2,TA,7,3,Attchd,1,2009,190000
86,10562,Reg,Inside,NridgHt,1Fam,2Story,8,5,2007,2007,VinylSd,PConc,GLQ,1582,2161,1,1,3,Ex,8,1,Attchd,3,2007,325624
62,8244,IR1,Inside,Gilbert,1Fam,2Story,7,5,2004,2004,VinylSd,PConc,Unf,840,1720,2,1,3,Gd,7,1,Attchd,2,2007,183500
,16669,IR1,Corner,Timber,1Fam,1Story,8,6,1981,1981,Plywood,CBlock,Unf,1686,1707,2,1,2,TA,6,1,Attchd,2,2006,228000
,12358,IR1,Inside,OldTown,1Fam,1.5Fin,5,6,1941,1950,MetalSd,CBlock,Rec,720,1382,1,1,2,TA,7,0,Detchd,2,2007,128500
141,31770,IR1,Corner,NAmes,1Fam,1Story,6,5,1960,1960,BrkFace,CBlock,BLQ,1080,1656,1,0,3,TA,7,2,Attchd,2,2010,215000
44,5306,IR1,Inside,StoneBr,TwnhsE,2Story,7,7,1987,1987,HdBoard,PConc,GLQ,1064,1767,2,0,2,Gd,5,1,Attchd,2,2006,239000
80,10197,IR1,Inside,NAmes,1Fam,1Story,6,5,1961,1961,WdShing,CBlock,ALQ,1362,1362,1,1,3,TA,6,1,Attchd,2,2008,163000
47,12416,IR1,Inside,Timber,1Fam,1Story,6,5,1986,1986,VinylSd,CBlock,ALQ,1606,1651,2,0,3,TA,7,1,Attchd,2,2008,184000
84,12615,Reg,Corner,Edwards,1Fam,1Story,6,7,1950,2001,WdShing,CBlock,ALQ,1202,2158,2,0,4,Gd,7,1,Attchd,2,2007,243000
97,10029,IR1,Corner,ClearCr,1Fam,2Story,6,5,1988,1989,Plywood,PConc,GLQ,1151,2060,2,1,4,TA,8,1,Attchd,2,2007,211000
,13650,Reg,Inside,Sawyer,1Fam,1.5Fin,5,5,1958,1958,MetalSd,CBlock,ALQ,1052,1920,2,0,4,Gd,8,1,Attchd,2,2006,172500
63,17423,IR1,CulDSac,StoneBr,1Fam,1Story,9,5,2008,2009,VinylSd,PConc,GLQ,2216,2234,2,0,1,Ex,9,1,Attchd,3,2009,501837
60,8520,Reg,Inside,OldTown,1Fam,1Story,5,6,1923,2006,Wd Sdng,CBlock,Unf,968,968,1,0,2,TA,5,0,Detchd,2,2007,100000
,2117,Reg,Inside,Somerst,Twnhs,2Story,6,5,2000,2000,MetalSd,PConc,GLQ,756,1525,2,1,3,Gd,5,1,Detchd,2,2007,177000
54,7588,Reg,Inside,Crawfor,1Fam,2Story,7,6,1920,1950,Stucco,BrkTil,LwQ,793,1802,1,1,4,TA,9,1,Detchd,1,2006,200100
60,9060,Reg,Inside,Edwards,1Fam,1Story,5,6,1957,2006,Wd Sdng,PConc,NA,0,1340,1,0,3,TA,7,1,Attchd,1,2007,120000
63,11426,Reg,Inside,OldTown,1Fam,1.5Fin,7,5,2003,2003,VinylSd,PConc,Unf,1362,2082,2,1,3,Gd,6,0,Detchd,2,2008,200000
92,7438,IR1,Inside,BrkSide,1Fam,1.5Fin,5,8,1908,1991,AsbShng,PConc,Unf,504,1252,1,0,3,TA,5,0,Attchd,2,2006,127000
90,22950,IR2,Inside,OldTown,1Fam,2.5Fin,10,9,1892,1993,Wd Sdng,BrkTil,Unf,1107,3608,2,1,4,Ex,12,2,Detchd,3,2006,475000
,9947,IR1,CulDSac,Mitchel,1Fam,SLvl,7,5,1990,1991,HdBoard,PConc,GLQ,1188,1217,2,0,3,Gd,6,0,Attchd,2,2009,173000
60,10410,Reg,Inside,OldTown,1Fam,1.5Fin,5,7,1916,1987,HdBoard,CBlock,Unf,660,1656,2,1,3,TA,8,0,Detchd,1,2009,135000
64,7018,Reg,Inside,SawyerW,Duplex,SFoyer,5,5,1979,1979,Plywood,CBlock,GLQ,1086,1224,0,2,2,TA,6,2,Detchd,2,2009,153337
41,4923,Reg,Inside,StoneBr,TwnhsE,1Story,8,5,2001,2002,CemntBd,PConc,GLQ,1593,1593,1,1,0,Ex,5,1,Attchd,2,2008,286000
70,10570,Reg,Inside,Crawfor,1Fam,2Story,8,8,1932,1994,BrkFace,CBlock,Rec,853,2727,2,1,3,Gd,10,2,Detchd,2,2007,315000
,7472,IR1,CulDSac,NAmes,1Fam,2Story,7,9,1972,2004,HdBoard,CBlock,ALQ,725,1479,1,1,4,Gd,7,0,Attchd,2,2007,184000
68,9017,IR1,Inside,CollgCr,1Fam,1Story,7,5,1999,1999,VinylSd,PConc,GLQ,1431,1431,2,0,3,Gd,6,0,Attchd,2,2009,192000
24,2522,Reg,Inside,Edwards,Twnhs,2Story,7,5,2004,2004,VinylSd,PConc,Unf,970,1709,2,0,3,Gd,7,0,Detchd,2,2006,130000
60,7180,IR1,Inside,CollgCr,1Fam,1Story,5,7,1972,1972,HdBoard,CBlock,ALQ,864,864,1,0,3,TA,5,0,Detchd,1,2008,127000
24,2280,Reg,FR2,NPkVill,Twnhs,2Story,6,6,1976,1976,Plywood,CBlock,ALQ,855,1456,2,1,3,TA,7,1,Attchd,2,2009,148500
79,9416,Reg,Inside,Somerst,1Fam,1Story,7,5,2007,2007,CemntBd,PConc,GLQ,1726,1726,2,0,3,Ex,8,1,Attchd,3,2007,311872
174,25419,Reg,Corner,NAmes,1Fam,2Story,8,4,1918,1990,Stucco,PConc,GLQ,1360,3112,2,0,4,Gd,8,1,Detchd,2,2006,235000
92,5520,Reg,Corner,OldTown,1Fam,2.5Fin,6,6,1912,1950,Wd Sdng,CBlock,Unf,755,2229,1,0,5,TA,8,0,NA,0,2009,104000
76,9591,Reg,Inside,NridgHt,1Fam,1Story,8,5,2004,2005,VinylSd,PConc,GLQ,1713,1713,2,0,3,Ex,7,1,Attchd,3,2009,274900
80,8546,Reg,Corner,Edwards,1Fam,1Story,4,5,2003,2004,VinylSd,PConc,Unf,1121,1121,2,0,2,TA,5,0,Attchd,2,2010,140000
75,10125,Reg,Inside,Mitchel,1Fam,1Story,6,6,1977,1977,Plywood,CBlock,ALQ,1196,1279,2,0,3,TA,6,2,Detchd,2,2008,171500
50,7000,Reg,Corner,OldTown,1Fam,1.5Fin,6,6,1924,1950,MetalSd,BrkTil,LwQ,617,1310,2,0,2,TA,6,0,Attchd,1,2006,112000
,4438,Reg,Inside,CollgCr,TwnhsE,1Story,6,5,2004,2004,VinylSd,PConc,GLQ,848,848,1,0,1,Gd,3,1,Attchd,2,2008,149000
50,3500,Reg,Inside,OldTown,1Fam,1.5Fin,5,7,1947,1950,AsbShng,CBlock,LwQ,720,1284,1,1,2,TA,5,0,Detchd,1,2009,110000
99,11851,Reg,Corner,Gilbert,1Fam,1Story,7,5,1990,1990,HdBoard,PConc,Unf,1424,1442,2,0,3,TA,5,0,Attchd,2,2009,180500
40,13673,IR1,CulDSac,Sawyer,1Fam,1Story,5,5,1962,1962,HdBoard,CBlock,Unf,1140,1696,1,1,3,TA,8,1,Attchd,1,2007,143900
,12493,IR1,Inside,NAmes,1Fam,1Story,4,5,1960,1960,Wd Sdng,PConc,ALQ,1100,1100,1,0,3,TA,6,1,Attchd,1,2008,141000
,14364,IR1,Inside,SawyerW,1Fam,2Story,7,5,1988,1989,Plywood,CBlock,GLQ,1157,2062,2,1,3,TA,7,1,Attchd,2,2007,277000
75,8250,Reg,Inside,NAmes,1Fam,1Story,6,7,1964,1964,HdBoard,CBlock,Rec,1092,1092,1,0,3,TA,6,0,Attchd,2,2008,145000
67,5604,Reg,Inside,Edwards,1Fam,1Story,5,6,1925,1950,Stucco,CBlock,Rec,864,864,1,0,2,TA,5,0,NA,0,2008,98000
83,10420,Reg,Corner,Edwards,1Fam,1Story,6,5,2009,2009,VinylSd,PConc,GLQ,1212,1212,2,0,3,Gd,6,0,Attchd,2,2010,186000
72,8640,Reg,Inside,Somerst,1Fam,2Story,7,5,2009,2009,VinylSd,PConc,GLQ,900,1852,2,1,3,Gd,7,1,Attchd,2,2009,252678
43,13568,IR2,CulDSac,CollgCr,1Fam,1Story,5,5,1995,1995,VinylSd,PConc,ALQ,990,990,1,0,3,TA,5,0,Attchd,2,2006,156000
,10900,IR1,FR2,CollgCr,1Fam,2Story,6,7,1977,1977,HdBoard,CBlock,GLQ,689,1392,1,1,3,TA,6,0,Attchd,1,2010,161750
72,10011,IR1,Inside,NAmes,1Fam,1Story,5,6,1957,1996,HdBoard,CBlock,BLQ,1070,1236,1,0,2,Gd,6,1,Attchd,1,2006,134450
65,8450,Reg,Inside,CollgCr,1Fam,1Story,7,5,2004,2004,VinylSd,PConc,GLQ,1436,1436,2,0,3,Gd,8,0,Attchd,2,2008,210000
57,9906,Reg,Inside,OldTown,1Fam,2Story,4,4,1925,1950,MetalSd,CBlock,Unf,686,1328,1,0,3,TA,8,0,Detchd,1,2006,107000
,15660,IR1,Corner,Crawfor,1Fam,1.5Fin,7,9,1939,2006,VinylSd,CBlock,BLQ,798,1954,1,1,3,Gd,8,2,Attchd,2,2008,311500
43,3010,Reg,Inside,Blmngtn,TwnhsE,1Story,7,5,2005,2006,VinylSd,PConc,GLQ,1248,1248,2,0,2,Gd,5,0,Attchd,2,2006,167240
73,8990,IR1,Inside,CollgCr,1Fam,1Story,7,5,2006,2006,VinylSd,PConc,Unf,1498,1498,2,0,2,Gd,5,0,Attchd,2,2006,204900
,8068,IR1,Inside,Gilbert,1Fam,2Story,6,5,2002,2002,VinylSd,PConc,Unf,1010,2267,2,1,4,Gd,8,1,BuiltIn,2,2009,200000
85,11475,Reg,Inside,NWAmes,1Fam,2Story,6,6,1975,1975,VinylSd,CBlock,ALQ,713,1552,2,1,3,TA,6,1,Attchd,2,2006,179900
70,10500,Reg,FR2,NAmes,1Fam,1Story,4,6,1971,1971,HdBoard,CBlock,ALQ,864,864,1,0,2,TA,4,0,Detchd,2,2009,97000
103,13472,Reg,Inside,NridgHt,1Fam,1Story,10,5,2003,2003,VinylSd,PConc,GLQ,2392,2392,2,0,3,Ex,8,1,Attchd,3,2009,386250
21,1680,Reg,Inside,BrDale,Twnhs,2Story,5,5,1971,1971,HdBoard,CBlock,Unf,630,1302,2,1,3,TA,6,0,Detchd,1,2009,112000
82,9950,IR1,Inside,NoRidge,1Fam,2Story,7,5,1995,1995,VinylSd,PConc,GLQ,1203,2520,2,1,4,Gd,9,1,Attchd,3,2007,290000
21,1869,Reg,Inside,BrDale,Twnhs,2Story,6,6,1970,1970,HdBoard,CBlock,Rec,483,987,1,1,2,TA,5,0,Detchd,1,2008,106000
70,8521,Reg,FR2,Sawyer,1Fam,1Story,5,5,1967,1967,HdBoard,CBlock,ALQ,912,912,1,0,3,TA,5,1,Detchd,1,2010,125000
43,3182,Reg,Inside,Blmngtn,TwnhsE,1Story,7,5,2005,2006,VinylSd,PConc,GLQ,1373,1555,2,0,2,Gd,7,1,Attchd,2,2009,192500
73,8760,Reg,Inside,NAmes,1Fam,1Story,6,6,1959,1959,MetalSd,CBlock,Unf,1194,1194,1,0,3,TA,6,0,Attchd,1,2010,148000
174,15138,IR1,Inside,NoRidge,1Fam,2Story,8,5,1995,1996,VinylSd,PConc,GLQ,1462,2794,2,1,4,Ex,9,1,Attchd,3,2009,403000
21,1680,Reg,Inside,BrDale,Twnhs,2Story,6,5,1972,1972,HdBoard,CBlock,Unf,483,987,1,1,2,TA,5,1,Attchd,1,2006,94500
75,10650,Reg,Corner,CollgCr,1Fam,1Story,5,6,1976,1976,HdBoard,CBlock,LwQ,894,894,1,0,3,TA,5,0,Attchd,1,2010,128200
,7851,Reg,Inside,Gilbert,1Fam,2Story,6,5,2002,2002,VinylSd,PConc,GLQ,860,1960,2,1,4,Gd,8,2,BuiltIn,2,2010,216500
21,1680,Reg,Inside,BrDale,TwnhsE,2Story,6,3,1971,1971,HdBoard,CBlock,ALQ,483,987,1,1,2,TA,5,0,Detchd,1,2008,89500
65,8773,Reg,FR2,CollgCr,1Fam,1Story,7,5,2004,2004,VinylSd,PConc,GLQ,1414,1414,2,0,3,Gd,6,0,Attchd,2,2010,185500
,9453,IR1,CulDSac,SawyerW,1Fam,2Story,7,7,1993,2003,HdBoard,PConc,BLQ,996,1744,2,1,3,Gd,7,0,Attchd,2,2010,194500
93,12030,Reg,Inside,NridgHt,1Fam,1Story,8,5,2007,2007,VinylSd,PConc,Unf,1694,1694,2,0,3,Gd,7,0,Attchd,3,2007,318000
52,8741,Reg,Inside,Edwards,1Fam,1.5Fin,6,4,1945,1950,VinylSd,CBlock,LwQ,735,1487,1,1,3,TA,7,1,Detchd,1,2010,113000
75,9000,Reg,Inside,Somerst,1Fam,1Story,8,5,2008,2008,VinylSd,PConc,GLQ,1566,1566,2,0,3,Gd,7,0,Attchd,2,2010,262500
40,3880,Reg,Inside,OldTown,1Fam,1Story,5,9,1945,1997,VinylSd,CBlock,ALQ,686,866,1,0,2,Gd,4,0,NA,0,2007,110500
63,5000,Reg,Corner,OldTown,1Fam,1.5Fin,5,4,1900,1950,Wd Sdng,BrkTil,Unf,540,1440,1,0,3,TA,6,0,Attchd,1,2006,79000
75,10762,Reg,Corner,SawyerW,TwnhsE,2Story,6,6,1980,1980,Plywood,CBlock,Unf,626,1217,1,1,3,TA,6,1,Attchd,1,2009,120000
,8880,IR1,Inside,SawyerW,1Fam,2Story,7,5,1994,2002,VinylSd,PConc,GLQ,948,2110,2,1,3,Gd,8,2,Attchd,2,2010,205000
80,10400,Reg,Inside,NWAmes,1Fam,1Story,7,5,1988,1988,Wd Sdng,CBlock,GLQ,1845,1872,2,0,3,TA,6,1,Attchd,2,2006,241500
69,9142,Reg,Inside,OldTown,2fmCon,2Story,6,8,1910,1950,AsbShng,Stone,Unf,1020,1928,2,0,4,Fa,9,0,Detchd,1,2006,137000
75,11310,Reg,Inside,NAmes,1Fam,1Story,6,5,1954,1954,Wd Sdng,CBlock,Unf,1367,1375,1,0,2,TA,5,1,Attchd,2,2006,140000
72,11317,Reg,Inside,CollgCr,1Fam,2Story,7,5,2003,2003,VinylSd,PConc,Unf,840,1668,2,1,3,Gd,8,0,Attchd,2,2007,180000
,159000,IR2,CulDSac,ClearCr,1Fam,1.5Fin,6,7,1958,2006,Wd Sdng,CBlock,Rec,1444,2144,2,0,4,Gd,7,2,Attchd,2,2007,277000
55,5350,IR1,Inside,BrkSide,1Fam,1Story,3,2,1940,1966,Wd Sdng,CBlock,Unf,728,1306,1,0,3,Fa,6,0,NA,0,2010,76500
44,4750,IR1,Inside,Crawfor,TwnhsE,1Story,8,5,2006,2007,VinylSd,PConc,GLQ,1573,1625,2,0,2,Gd,5,1,Attchd,2,2007,235000
65,8366,IR1,Inside,SawyerW,1Fam,2Story,6,5,2004,2004,VinylSd,PConc,Unf,798,1640,2,1,3,Gd,6,0,Attchd,2,2008,173000
85,9350,Reg,Inside,NAmes,1Fam,SLvl,6,7,1964,1991,HdBoard,CBlock,LwQ,1302,1302,2,0,3,Gd,7,0,Attchd,1,2007,158000
70,8400,Reg,Inside,NAmes,1Fam,1Story,5,6,1957,1957,MetalSd,CBlock,Rec,1314,1314,1,0,3,TA,5,0,Attchd,1,2010,145000
66,8738,IR1,Inside,Gilbert,1Fam,2Story,7,5,1999,1999,VinylSd,PConc,Unf,975,2291,2,1,4,Gd,8,1,BuiltIn,2,2006,230000
64,8791,IR1,Inside,Somerst,1Fam,2Story,6,5,2003,2003,VinylSd,PConc,Rec,864,1728,2,1,3,Gd,7,0,Attchd,2,2008,207500
68,8814,Reg,Inside,CollgCr,1Fam,1Story,7,5,2006,2006,VinylSd,PConc,GLQ,1604,1604,2,1,3,Gd,8,1,Attchd,2,2009,220000
80,12435,Reg,Inside,CollgCr,1Fam,2Story,7,5,2001,2001,VinylSd,PConc,GLQ,963,1792,2,1,3,Gd,7,1,Attchd,2,2008,231500
70,12702,Reg,Inside,OldTown,1Fam,1Story,5,5,1956,1956,BrkFace,PConc,NA,0,882,1,0,2,TA,4,0,Detchd,1,2008,97000
120,19296,Reg,Corner,NAmes,1Fam,SLvl,6,5,1962,1962,Wd Sdng,CBlock,Rec,1362,1382,1,0,3,TA,6,1,Attchd,2,2009,176000
69,9588,IR1,Inside,CollgCr,1Fam,2Story,8,5,2007,2007,CemntBd,PConc,Unf,1482,2574,2,1,3,Ex,10,1,BuiltIn,3,2007,276000
88,8471,IR1,Corner,Sawyer,1Fam,SLvl,6,7,1977,1995,HdBoard,CBlock,ALQ,506,1212,1,0,3,TA,6,1,Attchd,2,2006,151000
50,5500,Reg,Corner,OldTown,1Fam,1.5Fin,5,7,1929,2001,Wd Sdng,BrkTil,LwQ,926,1316,1,0,3,TA,6,0,Detchd,2,2010,130000
30,5232,IR3,Inside,OldTown,1Fam,1Story,5,5,1925,2004,Wd Sdng,BrkTil,Unf,680,764,1,0,2,TA,4,0,Detchd,2,2008,73000
78,12090,IR1,Inside,NWAmes,1Fam,1Story,6,6,1981,1981,MetalSd,CBlock,GLQ,1422,1422,2,0,3,Gd,7,1,Attchd,2,2008,175500
70,11207,IR1,FR2,Gilbert,1Fam,2Story,6,5,1997,1997,VinylSd,PConc,GLQ,802,1511,2,1,3,TA,8,1,Attchd,2,2006,185000
60,8400,Reg,Inside,SWISU,1Fam,2.5Fin,5,8,1939,1997,Wd Sdng,PConc,LwQ,720,2192,2,1,4,Gd,8,1,Detchd,1,2008,179500
71,6900,Reg,Inside,IDOTRR,1Fam,1Story,5,6,1940,1955,VinylSd,CBlock,ALQ,740,778,1,0,2,TA,4,1,Detchd,1,2008,120500
,7917,IR1,Corner,Edwards,1Fam,1Story,6,7,1976,1976,HdBoard,CBlock,BLQ,1143,1113,1,1,3,TA,6,1,Attchd,1,2007,148000
84,10728,Reg,Inside,Somerst,1Fam,2Story,8,5,2006,2006,VinylSd,PConc,Unf,1095,1939,2,1,3,Gd,8,1,Attchd,3,2006,266000
73,39104,IR1,CulDSac,ClearCr,1Fam,1Story,7,7,1954,2005,Plywood,CBlock,LwQ,1385,1363,1,0,2,TA,5,2,Attchd,2,2008,241500
92,11764,IR1,CulDSac,NoRidge,1Fam,2Story,8,7,1999,2007,VinylSd,PConc,GLQ,1152,2270,2,1,4,Gd,9,1,Attchd,3,2010,290000
80,9600,Reg,Inside,NAmes,1Fam,1Story,6,6,1958,1988,Wd Sdng,CBlock,Rec,1240,1632,2,0,3,TA,6,1,Attchd,1,2009,139000
76,8314,Reg,Corner,Mitchel,1Fam,1Story,5,7,1982,1982,HdBoard,CBlock,ALQ,816,816,1,0,2,TA,5,0,Attchd,1,2007,124500
55,7264,Reg,Inside,BrkSide,1Fam,1.5Fin,7,7,1925,2007,Wd Sdng,BrkTil,Unf,952,1548,2,1,3,Ex,5,0,Detchd,2,2009,205000
129,9196,IR1,Inside,Mitchel,1Fam,1Story,7,5,2003,2003,VinylSd,PConc,Unf,1560,1560,2,0,3,Gd,7,0,Attchd,2,2010,201000
140,19138,Reg,Corner,Gilbert,1Fam,1Story,4,5,1951,1951,VinylSd,CBlock,LwQ,864,864,1,0,2,TA,4,0,Detchd,2,2010,141000
107,14450,Reg,Inside,NridgHt,1Fam,1Story,9,5,2006,2007,CemntBd,PConc,Unf,2121,2121,2,1,3,Ex,8,1,Attchd,3,2007,415298
83,10005,Reg,Inside,ClearCr,1Fam,2Story,7,5,1977,1977,Plywood,CBlock,BLQ,1160,2022,2,1,4,TA,8,1,Attchd,2,2008,192000
82,11287,Reg,Inside,SawyerW,1Fam,2Story,7,6,1989,1989,Plywood,CBlock,GLQ,807,1982,2,1,3,Gd,7,1,Attchd,2,2007,228500
60,7200,Reg,Inside,Somerst,1Fam,1Story,6,5,2006,2006,VinylSd,PConc,GLQ,1262,1262,2,0,2,Gd,5,0,Attchd,2,2006,185000
34,5063,Reg,Inside,NridgHt,Twnhs,1Story,7,5,2007,2008,VinylSd,PConc,GLQ,1314,1314,2,0,2,Gd,6,1,Attchd,2,2009,207500
74,9612,Reg,Inside,Somerst,1Fam,1Story,8,5,2008,2009,VinylSd,PConc,Unf,1468,1468,2,0,3,Gd,6,1,Attchd,3,2009,244600
50,8012,Reg,Inside,SawyerW,TwnhsE,1Story,6,5,1992,1992,Plywood,PConc,GLQ,1575,1575,2,0,2,Gd,5,0,Attchd,2,2007,179200
35,4251,IR1,Inside,Somerst,TwnhsE,2Story,7,5,2006,2007,MetalSd,PConc,Unf,625,1250,2,1,2,Gd,5,0,Detchd,2,2007,164700
77,9786,IR1,Inside,NAmes,1Fam,1.5Fin,6,7,1962,1981,Wd Sdng,CBlock,Rec,912,1734,1,1,3,Gd,7,1,Attchd,2,2006,159000
,8125,IR1,Corner,NAmes,1Fam,1Story,4,4,1971,1971,HdBoard,CBlock,BLQ,858,858,1,0,3,TA,5,0,NA,0,2006,88000
,9819,IR1,Inside,Sawyer,1Fam,1Story,5,5,1967,1967,MetalSd,CBlock,BLQ,882,900,1,0,3,TA,5,0,Detchd,1,2010,122000
60,8730,Reg,Inside,BrkSide,1Fam,2Story,6,7,1915,2003,Wd Sdng,BrkTil,Unf,698,1396,1,0,3,TA,7,0,Detchd,1,2007,153575
120,15611,Reg,Inside,CollgCr,1Fam,2Story,8,5,2006,2006,VinylSd,PConc,Unf,1079,1919,2,1,3,Gd,8,1,Attchd,2,2006,233230
55,5687,Reg,Inside,SWISU,2fmCon,2Story,5,6,1912,2000,VinylSd,PConc,Rec,780,1716,2,0,6,Fa,9,0,NA,0,2008,135900
60,11409,Reg,Inside,Edwards,1Fam,1.5Fin,5,4,1949,2008,Wd Sdng,CBlock,LwQ,768,1716,1,1,3,TA,8,1,Attchd,1,2009,131000
,16659,IR1,Corner,NWAmes,1Fam,2Story,7,7,1977,1994,Plywood,CBlock,ALQ,795,2263,2,1,3,Gd,9,1,Attchd,2,2006,235000
80,9600,Reg,Inside,NAmes,1Fam,1Story,6,5,1953,1953,HdBoard,CBlock,GLQ,1416,1644,1,0,3,TA,7,2,Attchd,2,2009,167000
37,7937,IR1,CulDSac,Mitchel,1Fam,SLvl,6,6,1984,1984,HdBoard,CBlock,GLQ,1003,1003,1,0,3,TA,6,0,Detchd,2,2006,142500
75,13710,Reg,Inside,IDOTRR,1Fam,1.5Fin,5,5,1950,1950,Wd Sdng,CBlock,BLQ,910,1558,1,1,4,TA,6,0,Attchd,1,2007,152000
66,7399,IR1,Inside,Somerst,1Fam,2Story,7,5,1997,1998,VinylSd,PConc,BLQ,975,1950,2,1,3,Gd,7,1,Detchd,2,2007,239000
90,11700,Reg,Inside,NWAmes,1Fam,2Story,6,6,1968,1968,HdBoard,CBlock,ALQ,702,1743,1,2,3,TA,7,1,Attchd,2,2007,175000
80,14000,Reg,Inside,Crawfor,1Fam,1Story,6,8,1950,2004,HdBoard,CBlock,Unf,1092,1152,1,0,3,Gd,6,1,Attchd,1,2009,158500
90,15750,Reg,Corner,Crawfor,2fmCon,1Story,5,5,1953,1953,MetalSd,CBlock,BLQ,1165,1336,1,0,2,TA,5,2,Attchd,1,2006,157000
66,16226,IR3,Inside,CollgCr,1Fam,2Story,8,5,1998,1999,VinylSd,PConc,GLQ,1028,2452,2,1,4,Gd,9,1,BuiltIn,2,2007,267000
118,13704,IR1,Corner,CollgCr,1Fam,1Story,7,5,2001,2002,VinylSd,PConc,Unf,1541,1541,2,0,3,Gd,6,1,Attchd,3,2006,205000
70,9800,Reg,Corner,CollgCr,1Fam,1Story,5,7,1972,1972,VinylSd,PConc,ALQ,894,894,1,0,3,TA,5,0,Attchd,2,2006,149900
87,18386,Reg,Inside,OldTown,1Fam,2.5Fin,7,9,1880,2002,CemntBd,BrkTil,Unf,1470,3493,3,0,3,Gd,10,1,Attchd,3,2008,295000
80,10386,Reg,Inside,CollgCr,1Fam,1Story,8,5,2004,2005,CemntBd,PConc,GLQ,2000,2000,2,0,3,Gd,8,0,Attchd,3,2007,305900
116,13474,Reg,Inside,SawyerW,1Fam,2Story,7,5,1990,1991,HdBoard,CBlock,ALQ,700,2243,2,1,4,Gd,8,1,Attchd,3,2007,225000
,7920,IR1,Inside,IDOTRR,1Fam,1.5Fin,6,7,1920,1950,MetalSd,CBlock,Unf,319,1406,1,0,3,Fa,6,0,NA,0,2008,89500
,12342,IR1,Inside,Edwards,1Fam,1Story,4,5,1940,1950,VinylSd,CBlock,BLQ,861,861,1,0,1,TA,4,0,Detchd,2,2009,82500
90,12378,IR1,Inside,NridgHt,1Fam,1Story,9,5,2003,2004,VinylSd,PConc,GLQ,1896,1944,2,0,3,Ex,8,3,Attchd,3,2006,360000
,7685,IR1,Inside,Gilbert,1Fam,2Story,6,5,1993,1994,HdBoard,PConc,ALQ,697,1501,2,1,3,Gd,6,1,Attchd,2,2006,165600
50,8000,Reg,Inside,NAmes,1Fam,1Story,6,6,1948,2002,VinylSd,CBlock,ALQ,972,972,1,0,2,TA,5,1,Detchd,1,2009,132000
65,7800,Reg,Inside,OldTown,2fmCon,1.5Fin,5,7,1939,1950,MetalSd,CBlock,Rec,793,1118,1,0,3,TA,5,1,Detchd,2,2006,119900
60,9600,Reg,Inside,OldTown,1Fam,2Story,7,7,1925,1990,Wd Sdng,BrkTil,LwQ,728,1641,1,1,3,Ex,6,1,Detchd,2,2006,178000
71,7795,IR1,Inside,Gilbert,1Fam,2Story,7,5,2004,2005,VinylSd,PConc,GLQ,716,1432,2,1,3,Gd,6,1,Attchd,2,2009,188500
94,13005,IR1,Corner,NWAmes,1Fam,2Story,7,7,1980,1980,CemntBd,CBlock,GLQ,845,2353,2,1,4,Ex,10,1,Attchd,2,2009,260000
75,9000,Reg,Inside,Somerst,1Fam,2Story,8,5,2006,2006,VinylSd,PConc,Unf,1088,1959,2,1,3,Gd,8,1,Attchd,3,2007,270000
90,9900,Reg,Inside,NoRidge,1Fam,2Story,7,5,1993,1993,HdBoard,PConc,GLQ,1347,2646,2,1,4,Gd,9,1,Attchd,3,2009,260000
,14115,Reg,Inside,NWAmes,1Fam,SLvl,7,5,1980,1980,Plywood,CBlock,GLQ,1372,1472,2,0,3,TA,6,2,Attchd,2,2009,187500
111,16259,Reg,Corner,NridgHt,1Fam,2Story,9,5,2006,2006,VinylSd,PConc,Unf,1249,2596,3,1,4,Gd,9,0,Attchd,3,2006,342643
99,12099,IR1,Inside,NridgHt,1Fam,2Story,8,5,2004,2004,VinylSd,PConc,GLQ,1136,2468,2,1,4,Gd,10,1,BuiltIn,3,2007,354000
